'a 啊
'an'zhao'hu'shi'zhang 按照护士长
'an'zhao'hui'fu 按照回复
'an'zhao'ji'hua 按照计划
'an'zhao'ji'xiao 按照绩效
'an'zhao'jia'he 按照嘉禾
'an'zhao'jie'mian 按照界面
'an'zhao'jing'mai 按照静脉
'an'zhao'ke'shi 按照科室
'an'zhao'lao'ban'ben 按照老版本
'an'zhao'le 按照了
'an'zhao'ling'dao 按照领导
'an'zhao'liu'cheng 按照流程
'an'zhao'lu'ru 按照录入
'an'zhao'mei'ge'yue 按照每个月
'an'zhao'mei'gong 按照美工
'an'zhao'na'ci 按照那次
'an'zhao'na'ge 按照哪个
'an'zhao'na'tian 按照哪天
'an'zhao'ni 按照你
'an'zhao'ni'de 按照你的
'an'zhao'ni'men 按照你们
'an'zhao'ping'gu 按照评估
'an'zhao'qi'wang 按照期望
'an'zhao'qu'nian 按照去年
'an'zhao'ri'qi 按照日期
'an'zhao'ru'yuan 按照入院
'an'zhao'ruan 按照软
'an'zhao'shang'shang'ci 按照上上次
'an'zhao'shi'ji 按照实际
'an'zhao'shi'jian 按照时间
'an'zhao'shui'ping 按照水平
'an'zhao'ta 按照他
'an'zhao'ta'men 按照他们
'an'zhao'tu'jing 按照途径
'an'zhao'wan'le 按照完了
'an'zhao'wang'shang 按照网上
'an'zhao'wei'zhi 按照位置
'an'zhao'wen'dang 按照文档
'an'zhao'wo 按照我
'an'zhao'xian'chang 按照现场
'an'zhao'xian'zai 按照现在
'an'zhao'xin'sheng'er 按照新生儿
'an'zhao'xu'bo 按照徐博
'an'zhao'xu'qiu 按照需求
'an'zhao'xun 按照循
'an'zhao'yan'fa 按照研发
'an'zhao'yao'qiu 按照要求
'an'zhao'yi'qian 按照以前
'an'zhao'yuan'lai 按照原来
'an'zhao'zhe'ge 按照这个
'an'zhao'zhen'shi 按照真实
'an'zhao'zheng'jing 按照郑靖
'an'zhao'zhong'biao 按照中标
'an'zhao'zi'ji 按照自己
'an'zhao'zi'mu 按照字母
'an'zhao'zui'duo 按照最多
'an'zhe'ge 按这个
'an'zhi 按只
'an'zhi'you 俺只有
'an'zhuang 安装
'an'zhuang'a 安装啊
'an'zhuang'a'jiao 安装阿娇
'an'zhuang'bao 安装包
'an'zhuang'bao'mei 安装包没
'an'zhuang'bao'wo 安装包我
'an'zhuang'bu'le 安装不了
'an'zhuang'cheng'xu 安装程序
'an'zhuang'de 安装的
'an'zhuang'guo 安装过
'an'zhuang'hao'le 安装好了
'an'zhuang'huan'jing 安装环境
'an'zhuang'kong'jian 安装控件
'an'zhuang'le 安装了
'an'zhuang'lu'ru 安装录入
'an'zhuang'pei'zhi 安装配置
'an'zhuang'ping'tai 安装平台
'an'zhuang'shang 安装上
'an'zhuang'shang'le 安装上了
'an'zhuang'shang'lian'xiang 安装上联想
'an'zhuang'shang'qu 安装上去
'an'zhuang'shao'de 安装少的
'an'zhuang'shu'ju'ku 安装数据库
'an'zhuang'ti'wen'dan 安装体温单
'an'zhuang'wan 安装完
'an'zhuang'wan'le 安装完了
'an'zhuang'xi'tong 安装系统
'an'zhuang'xian'zai 安装现在
'an'zhuang'yi'ge 安装一个
'an'zhuang'yi'xia 安装一下
'an'zhuang'yi'yuan 安装医院
'an'zhuang'you'mei 安装有没
'an'zhuang'yun'xing 安装运行
'an'zhuang'za'men 安装咱们
'an'zi 暗紫
'an'zi'ran'zhou 按自然周
'an'zong'zi'jin 按总资金
'ao 熬
'ao'dong 敖东
'ao'dong'hai 敖东还
'ao'dong'hai'kui 敖东还亏
'ao'dong'kui'de 敖东亏得
'ao'dong'kui'le 敖东亏了
'ao'dong'rang 敖东让
'ao'dong'shi 敖东是
'ao'dong'shi'ge 敖东是个
'ao'dong'tai 敖东太
'ao'dong'wo 敖东我
'ao'dong'ye 敖东也
'ao'dong'ye'shi 敖东也是
'ao'dong'yi'zhi 敖东一直
'ao'dong'you 敖东有
'ao'dong'you 敖东又
'ao'dong'you'shi 敖东又是
'ao'te'man 奥特曼
'ao'te'man'ba 奥特曼吧
'ao'xiu 奥修
'ao'yu'tang 熬鱼汤
'ba 吧
'ba 把
'ba 爸
'ba 八
'ba 拔
'ba'a'jiao 把阿娇
'ba'ai'mei 把暧昧
'ba'an'pai 吧安排
'ba'an'shuo 吧按说
'ba'ba 吧把
'ba'ba 爸爸
'ba'bai 八百
'ba'bai'duo 八百多
'ba'bai'yong'hui 把白永辉
'ba'bang'wo 吧帮我
'ba'bao 吧报
'ba'bao'cun 把保存
'ba'bao'cuo 把报错
'ba'bao'le 吧报了
'ba'bei'jing 吧北京
'ba'ben'ci 把本次
'ba'ben'jin 把本金
'ba'ben'lai 吧本来
'ba'beng'ru'yao 把泵入药
'ba'beng'ru'yao 吧泵入药
'ba'bi 吧比
'ba'bi'jiao 把比较
'ba'bi'ru 吧比如
'ba'bi'wo 吧比我
'ba'biao 把表
'ba'biao'qian 吧标签
'ba'biao'tou 吧表头
'ba'bie 吧别
'ba'bie'ji 吧别急
'ba'bie'le 吧别了
'ba'bie'ren 吧别人
'ba'bing'li 把病历
'ba'bing'qing 吧病情
'ba'bing'ren 把病人
'ba'bing'shi 把病史
'ba'bo'ren 把博仁
'ba'bu'ban 爸不办
'ba'bu'cuo 吧不错
'ba'bu'duo 吧不多
'ba'bu'guo 吧不过
'ba'bu'hui 吧不会
'ba'bu'ke'qi 吧不客气
'ba'bu'shi 吧不是
'ba'bu'shi 把不是
'ba'bu'suan 吧不算
'ba'bu'tai 吧不太
'ba'bu'yi'ding 吧不一定
'ba'bu'yi'ding 把不一定
'ba'bu'ying'gai 吧不应该
'ba'bu'yong 吧不用
'ba'bu'zao 吧不早
'ba'bu'zhi'dao 吧不知道
'ba'ca 吧擦
'ba'ca 把擦
'ba'can'shu 吧参数
'ba'cao 吧操
'ba'ce'shi 把测试
'ba'cha'dui 吧插队
'ba'cha'ru 把插入
'ba'cha'xun 把查询
'ba'chan'hou 把产后
'ba'chao'shi 把超时
'ba'chao'shi 吧超市
'ba'che 把车
'ba'che 吧车
'ba'cheng'shi 把城市
'ba'cheng'xu 吧程序
'ba'cheng'xu 把程序
'ba'chi'wan 吧吃完
'ba'chi'you 爸持有
'ba'chong'xin 把重新
'ba'chong'zhi'wan 吧重置完
'ba'chu 把除
'ba'chu'fei 吧除非
'ba'chu'le 把除了
'ba'chu'qi 吧初七
'ba'chu'ru'liang 把出入量
'ba'chu'wo 把除我
'ba'chu'yuan 把出院
'ba'chu'yuan 吧出院
'ba'chuang'wei 把床位
'ba'chuang'xin'gao 吧创新高
'ba'cou'yi'cou 吧凑一凑
'ba'cuo'shi 把措施
'ba'da'che 吧打车
'ba'da'de 吧大的
'ba'da'hao 吧搭好
'ba'da'jia 把大家
'ba'da'jia 吧大家
'ba'da'tou 吧大头
'ba'da'yin 吧打印
'ba'da'yin 把打印
'ba'dai'chu'li 吧待处理
'ba'dai'gong 吧戴工
'ba'dai'hui'lai 吧带回来
'ba'dai'ma 把代码
'ba'dai'ma 吧代码
'ba'dan'ge 把单个
'ba'dan'shi 吧但是
'ba'dan'wei 把单位
'ba'dan'yuan'ge 把单元格
'ba'dan'zi 把单子
'ba'dan'zi 吧单子
'ba'dao 霸道
'ba'dao'chu 把导出
'ba'dao'shu 吧倒数
'ba'dao'yao 霸道要
'ba'de 吧的
'ba'de 拔的
'ba'de 把的
'ba'deng 吧等
'ba'deng'lu 吧登陆
'ba'deng'zhe 吧等着
'ba'di 把第
'ba'di'jiu'dian 把第九点
'ba'di'yi'ci 吧第一次
'ba'di'yi'tiao 把第一条
'ba'di'yi'zhang 把第一张
'ba'dian'ban 八点半
'ba'dian'ban'dao 八点半到
'ba'dian'hua 吧电话
'ba'dian'nao 吧电脑
'ba'dian'zi'bing'li 把电子病历
'ba'dou 把都
'ba'dou 吧都
'ba'dou'bu'lai 吧都不来
'ba'dou'di'zhu 吧斗地主
'ba'dou'ke'yi 吧都可以
'ba'duan'kou 把端口
'ba'duan'le 吧断了
'ba'dui'hua'kuang 把对话框
'ba'dui'le 吧对了
'ba'duo 吧多
'ba'duo'shao'qian 吧多少钱
'ba'duo'xuan 把多选
'ba'en 吧恩
'ba'en'ze 把恩泽
'ba'er'qie 吧而且
'ba'er'tong 把儿童
'ba'fa'wo 吧发我
'ba'fan'shi 吧凡是
'ba'fang 吧放
'ba'fang'an 把方案
'ba'fang'dai 吧房贷
'ba'fang'fa 把方法
'ba'fang'fa'ming 把方法名
'ba'fang'zi 吧房子
'ba'fang'zi 把房子
'ba'fu'qiang 把腹腔
'ba'fu'wu'duan 吧服务端
'ba'fu'wu'duan 把服务端
'ba'fu'wu'ming 把服务名
'ba'fu'wu'qi 把服务器
'ba'fu'zhi 把赋值
'ba'gai'cheng'gong 吧改成功
'ba'gai'le 把改了
'ba'gai'wan 把改完
'ba'gan'ran'ke 把感染科
'ba'gang 吧刚
'ba'gang'cai 把刚才
'ba'gao'tang 把高唐
'ba'ge 吧哥
'ba'gei'ni 吧给你
'ba'gei'ta 吧给他
'ba'gei'wo 爸给我
'ba'geng'xin 把更新
'ba'gong'gong 吧公共
'ba'gong'si 把公司
'ba'gong'xi 吧恭喜
'ba'gong'zi'ka 吧工资卡
'ba'gou 把勾
'ba'gu'ji 吧估计
'ba'gu'ji 把估计
'ba'gu'zong 吧顾总
'ba'guan 拔管
'ba'guan 把关
'ba'guan'li'yuan 把管理员
'ba'guan'ru'guo 拔管如果
'ba'guan'shi'jian 拔管时间
'ba'guan'xu'bo 把关徐博
'ba'guang'da 吧光大
'ba'guang'shang 吧光上
'ba'guang'zhou 把广州
'ba'gui'ge 把规格
'ba'gui'ge 吧规格
'ba'gui'lin'shi 吧桂林市
'ba'gun'dong'tiao 把滚动条
'ba'guo'lai 吧过来
'ba'hai 吧还
'ba'hai'cha 吧还差
'ba'hai'hao 吧还好
'ba'hai'shi 吧还是
'ba'hai'xu'yao 吧还需要
'ba'hai'yao 吧还要
'ba'hai'you 吧还有
'ba'hai'zi 把孩子
'ba'han'dan 吧邯郸
'ba'hao 吧好
'ba'hao'ba 吧好吧
'ba'hao'de 吧好的
'ba'hao'le 吧好了
'ba'hao'nong 把好弄
'ba'hao'xiang 吧好像
'ba'hao'xin'dong 吧好心动
'ba'he 把和
'ba'he 吧和
'ba'he'he 吧呵呵
'ba'he'ni 吧和你
'ba'hen 吧很
'ba'heng'xian 把横线
'ba'hong'hui 把红会
'ba'hou'mian 把后面
'ba'hu'li 把护理
'ba'hu'li'dan 吧护理单
'ba'hu'li'ji'lu 吧护理记录
'ba'hua'bei 吧华北
'ba'hua'fei 把话费
'ba'hua'nan 吧华南
'ba'hua'tu 把画图
'ba'huan'yi'ge 吧换一个
'ba'huan'zhe 把患者
'ba'hui'che 把回车
'ba'hui'chuan 把回传
'ba'hui'fu 吧回复
'ba'hui'qu 吧回去
'ba'hui'yi 吧会议
'ba'hui'you 吧会有
'ba'huo'zhe 吧或者
'ba'ji 吧急
'ba'ji'bing 把疾病
'ba'ji'chu'hu'li 把基础护理
'ba'ji'jin 把基金
'ba'ji'lu 把记录
'ba'ji'ning 把济宁
'ba'ji'shu 把技术
'ba'jia 把加
'ba'jia'ban 吧加班
'ba'jia'he 吧嘉禾
'ba'jia'mi 把加密
'ba'jia'ru 吧加入
'ba'jian 吧建
'ba'jian 把建
'ba'jian'kang 吧健康
'ba'jian'kang 把健康
'ba'jiang'men 吧江门
'ba'jiao'ben 把脚本
'ba'jiao'fei 吧缴费
'ba'jiao'jing 吧交警
'ba'jie 八戒
'ba'jie'kou 吧接口
'ba'jie'le 爸借了
'ba'jie'mian 把界面
'ba'jie'shu 把结束
'ba'jin'kuai 吧尽快
'ba'jin'nian 吧今年
'ba'jin'tian 吧今天
'ba'jin'wan 吧今晚
'ba'jing'ti 吧晶体
'ba'jiu 吧就
'ba'jiu 八九
'ba'jiu'de 把旧的
'ba'jiu'dian 八九点
'ba'jiu'liang 吧酒量
'ba'jiu'shi 吧就是
'ba'jiu'shuo 吧就说
'ba'jiu'suan 吧就算
'ba'ju'can 吧聚餐
'ba'jue'de 吧觉得
'ba'kai'shi 把开始
'ba'kai'xiao 吧开销
'ba'kan'shen'me 吧看什么
'ba'ke'hu'duan 把客户端
'ba'ke'shi 把科室
'ba'ke'xi 吧可惜
'ba'kong 把控
'ba'kong'da'lian 把控大连
'ba'kong'jian 把控件
'ba'kong'zong 吧空总
'ba'kong'zong 把空总
'ba'ku 把库
'ba'ku 吧库
'ba'ku'zi 把裤子
'ba'kuang 把框
'ba'kui'da 吧亏大
'ba'kui'qian 把亏钱
'ba'lao'ku 把老库
'ba'lao'po 吧老婆
'ba'lao'zhu 吧老朱
'ba'li'ji 吧里脊
'ba'li'mian 把里面
'ba'liang 把量
'ba'liang'ge 吧两个
'ba'liang'ge 把两个
'ba'lie'tou 把列头
'ba'lin'chuang 把临床
'ba'lin'hai 吧临海
'ba'ling'wai 吧另外
'ba'liu'lan'qi 把浏览器
'ba'liu'yuan 吧六院
'ba'long'hua 吧龙华
'ba'lv'yue 把履约
'ba'ma 爸妈
'ba'ma'de 爸妈的
'ba'ma'de 吧妈的
'ba'ma'dou 爸妈都
'ba'ma'dou'zai 爸妈都在
'ba'ma'shuo 爸妈说
'ba'ma'shuo'le'mei 爸妈说了没
'ba'ma'shuo'xia 爸妈说下
'ba'ma'zai 爸妈在
'ba'ma'zhe 爸妈这
'ba'mao 把猫
'ba'mei'fa 吧没法
'ba'mei'ge 吧每个
'ba'mei'nian 吧每年
'ba'mei'nian 爸每年
'ba'mei'ren 吧没人
'ba'mei'shi 吧没事
'ba'mei'yong 把没用
'ba'mei'you 把没有
'ba'mei'you 吧没有
'ba'mei'zhuan 吧没赚
'ba'ming'cheng 把名称
'ba'ming'dan 把名单
'ba'ming'tian 吧明天
'ba'ming'zi 吧名字
'ba'ming'zi 把名字
'ba'mo'kuai 把模块
'ba'na 吧那
'ba'na 爸那
'ba'na 把那
'ba'na'ge 把哪个
'ba'na'ge 吧那个
'ba'na'ge 把那个
'ba'na'ge 吧哪个
'ba'na'hao 吧那好
'ba'na'ji'ge 把那几个
'ba'na'jiu 吧那就
'ba'na'jiu'hao 吧那就好
'ba'na'ju'hua 把那句话
'ba'na'me 吧那么
'ba'na'ni 吧那你
'ba'na'suan'le 吧那算了
'ba'na'tiao 把那条
'ba'na'wo 吧那我
'ba'na'xie 吧哪些
'ba'na'zhang'biao 把那张表
'ba'nan'dao 吧难道
'ba'nan'de 吧难得
'ba'nan'ning 吧南宁
'ba'nan'yang 把南阳
'ba'nei'rong 把内容
'ba'neng 吧能
'ba'neng'bu'neng 吧能不能
'ba'ni 吧你
'ba'ni 把你
'ba'ni'ba 吧你把
'ba'ni'bao 把你报
'ba'ni'bu'shi 把你不是
'ba'ni'dai'shang 把你带上
'ba'ni'de 把你的
'ba'ni'hao 吧你好
'ba'ni'men 吧你们
'ba'ni'men 把你们
'ba'ni'men'san'ge 把你们三个
'ba'ni'xiang 吧你想
'ba'ni'yao'me 吧你要么
'ba'ni'yin'hang'ka 把你银行卡
'ba'ni'zhao'pian 把你照片
'ba'nian 八年
'ba'nian'hui 吧年会
'ba'nian'yi'yu 八年一遇
'ba'niao'liang 把尿量
'ba'niao'liang 吧尿量
'ba'niu 吧牛
'ba'niu'bi 吧牛逼
'ba'o 吧哦
'ba'ou'mei 吧欧美
'ba'pa 吧怕
'ba'pai'ban 把排版
'ba'pai'xu 把排序
'ba'pang 把庞
'ba'pei'zhi 把配置
'ba'pi'chu'li 把批处理
'ba'pi'lou 吧披露
'ba'ping'gu'dan 把评估单
'ba'ping'jun 吧平均
'ba'qi 霸气
'ba'qi'ca 霸气擦
'ba'qi'dong 吧启动
'ba'qi'guai 吧奇怪
'ba'qi'ta 把其他
'ba'qi'ta 吧其他
'ba'qi'ta'lie 把其他列
'ba'qi'ta'ren 吧其他人
'ba'qi'zi'xing'che 吧骑自行车
'ba'qian 把钱
'ba'qian'ming 把签名
'ba'qie'chu'lai 吧切出来
'ba'qing'jian'hu 吧青剑湖
'ba'qing'jiao 吧请教
'ba'qing'kong 把清空
'ba'qing'kuang 把情况
'ba'qiu'yi 把球衣
'ba'qu 吧去
'ba'qu'diao 吧去掉
'ba'quan'qiu 吧全球
'ba'quan'shang 把券商
'ba'quan'tian 把全天
'ba'quan'xian 吧权限
'ba'que 吧缺
'ba'qun'zhu 吧群主
'ba'rang'ta 吧让他
'ba'rang'wo 吧让我
'ba'ren 把人
'ba'ren'duo 吧人多
'ba'ren'qiu 吧任丘
'ba'ren'yuan 把人员
'ba'ren'zi 把人资
'ba'ri'qi 把日期
'ba'ri'zhi 把日志
'ba'ru'chang 吧入场
'ba'ru'guo 吧如果
'ba'ru'ke 吧入科
'ba'ru'liang 把入量
'ba'ru'yuan 吧入院
'ba'ruan 吧软
'ba'rui'na 把瑞纳
'ba'san'ji 把三级
'ba'san'ming 吧三明
'ba'shan'chu 吧删除
'ba'shang'ci 把上次
'ba'shang'ge 把上个
'ba'shang'kou 把伤口
'ba'shang'mian 把上面
'ba'shang'shi 吧上市
'ba'shang'wu 吧上午
'ba'shang'wu 吧商务
'ba'shang'wu'hai 吧上午还
'ba'shang'yi'ge 把上一个
'ba'shao'dai'dian 吧少带点
'ba'shao'kao 吧烧烤
'ba'she'bei 把设备
'ba'she'ji'dao 吧涉及到
'ba'she'ji'wen'jian 吧设计文件
'ba'she'zhi 把设置
'ba'shen'me 把什么
'ba'shen'me 吧什么
'ba'sheng'de 吧省的
'ba'sheng'xia 吧剩下
'ba'sheng'yi 吧生意
'ba'shi 吧是
'ba'shi'a 吧是啊
'ba'shi'bu'shi 吧是不是
'ba'shi'de 吧是的
'ba'shi'jian 吧时间
'ba'shi'jian 把事件
'ba'shi'jian'dian 把时间点
'ba'shi'qing 把事情
'ba'shi'shi 吧实施
'ba'shi'tu 把视图
'ba'shi'zai 吧实在
'ba'shou 把手
'ba'shou'gang 吧首钢
'ba'shou'jie'mian 把首界面
'ba'shou'tou 把手头
'ba'shu'ju 把数据
'ba'shuang'ji 吧双击
'ba'shui'gai 吧谁改
'ba'shuo 爸说
'ba'shuo'bu'ding 吧说不定
'ba'shuo'de 爸说的
'ba'shuo'guo 爸说过
'ba'shuo'yi'xia 爸说一下
'ba'si'chuan'sheng 吧四川省
'ba'si'wang 把死亡
'ba'su'du 吧速度
'ba'su'zhou 吧苏州
'ba'sui'bian 吧随便
'ba'suo'yi 吧所以
'ba'suo'you 把所有
'ba'suo'you 吧所有
'ba'suo'you'qian 把所有钱
'ba'ta 把他
'ba'ta 吧他
'ba'ta 把它
'ba'ta 把她
'ba'ta'men 吧他们
'ba'ta'zai 把它再
'ba'tai 吧台
'ba'tai'da 吧太大
'ba'tai'zhou 把台州
'ba'tai'zhou 吧台州
'ba'tan'chu 把弹出
'ba'te'bie 吧特别
'ba'te'shu'yong'yao 把特殊用药
'ba'teng'le 吧疼了
'ba'teng'tong 把疼痛
'ba'ti'cha'dui 吧提插队
'ba'ti'huan 吧替换
'ba'ti'qu 把提取
'ba'ti'shang'lai 把提上来
'ba'ti'wen 把体温
'ba'ti'wen'dan 把体温单
'ba'ti'wen'dan 吧体温单
'ba'tian'men 吧天门
'ba'tiao'jian 吧条件
'ba'ting'che 吧停车
'ba'ting'hao 吧挺好
'ba'tong'ji 吧统计
'ba'tong'ji 把统计
'ba'tong'ji'wai 把统计外
'ba'tu'pian 把图片
'ba'tuo'le 吧拖了
'ba'wai'hui 把外汇
'ba'wan'shang 吧晚上
'ba'wang'le 吧忘了
'ba'wei'shen'me 爸为什么
'ba'wei'shen'me 吧为什么
'ba'wei'ye 把胃液
'ba'wen'dang 把文档
'ba'wen'jian 把文件
'ba'wen'ti 把问题
'ba'wen'wan 吧问完
'ba'wo 把我
'ba'wo 吧我
'ba'wo 把握
'ba'wo'a 把握啊
'ba'wo'bi'ji'ben 把我笔记本
'ba'wo'de 把我的
'ba'wo'de 吧我的
'ba'wo'de 把握的
'ba'wo'hu'zhu'le 把我唬住了
'ba'wo'jia 吧我家
'ba'wo'kao 吧我靠
'ba'wo'men 吧我们
'ba'wo'neng 把握能
'ba'wo'pi'le 把我批了
'ba'wo'shan'le 把我删了
'ba'wo'ye'qu 吧我也去
'ba'wu'suo'wei 吧无所谓
'ba'wu'xu'qiu 把无需求
'ba'wu'yue 吧五月
'ba'xi'tong 把系统
'ba'xia'ci 吧下次
'ba'xia'li'bai 吧下礼拜
'ba'xia'mian 把下面
'ba'xia'wu 吧下午
'ba'xian 把先
'ba'xian 吧先
'ba'xian'ba 吧先把
'ba'xian'chang 把现场
'ba'xian'gao 吧先搞
'ba'xian'shi 把显示
'ba'xian'yao 吧先要
'ba'xian'zai 吧现在
'ba'xiang 吧像
'ba'xiang'mu 把项目
'ba'xiang'xi 把详细
'ba'xiao'bai 吧小白
'ba'xiao'guo 把效果
'ba'xiao'ruan'jian 把小软件
'ba'xiao'yong 吧晓勇
'ba'xiao'yong 把晓勇
'ba'xin 把新
'ba'xin'ban 吧新版
'ba'xin'de 吧新的
'ba'xin'ku 把新库
'ba'xin'xue'guan 把心血管
'ba'xin'zeng 把新增
'ba'xing'ming 把姓名
'ba'xiu'gai 吧修改
'ba'xu'bo 吧徐博
'ba'xu'hao 把序号
'ba'xu'ni 把虚拟
'ba'xu'qiu 把需求
'ba'xu'qiu 吧需求
'ba'xu'yao 把需要
'ba'xuan'ze 吧选择
'ba'xue'tang 把血糖
'ba'ya 拔牙
'ba'ya'li'da 吧压力大
'ba'ya'na 拔牙那
'ba'ya'zui'hou 拔牙最后
'ba'yan'fa 吧研发
'ba'yan'tai 把烟台
'ba'yao 爸要
'ba'yao 吧要
'ba'yao'fa 把要发
'ba'yao'gai'cheng 吧要改成
'ba'yao'jia 把要加
'ba'yao'me 把要么
'ba'yao'me 吧要么
'ba'yao'qiu 把要求
'ba'yao'shi 吧要是
'ba'yao'wu 把药物
'ba'ye 吧也
'ba'ye 把也
'ba'ye'jiu'shi 吧也就是
'ba'ye'shi 吧也是
'ba'ye'wu'biao 把业务表
'ba'ye'wu'ceng 吧业务层
'ba'yi'ban 吧一般
'ba'yi'dong 把移动
'ba'yi'dong'hu'li 把移动护理
'ba'yi'ge 把一个
'ba'yi'ge 吧一个
'ba'yi'hang 把一行
'ba'yi'hui 吧一会
'ba'yi'jing 吧已经
'ba'yi'min 吧一敏
'ba'yi'qian 把以前
'ba'yi'qian 吧以前
'ba'yi'sheng'zhan 把医生站
'ba'yi'tian 把一天
'ba'yi'xie 把一些
'ba'yi'yuan 把医院
'ba'yi'zhi 吧一直
'ba'yi'zhu 把医嘱
'ba'yi'zu 把一组
'ba'yin'cang 把隐藏
'ba'yin'wei 吧因为
'ba'ying'gai 吧应该
'ba'ying'xiang 把影响
'ba'yong 吧用
'ba'yong'de 把用的
'ba'you 吧有
'ba'you 把有
'ba'you'jian 把邮件
'ba'you'mei'you 吧有没有
'ba'you'shi'jian 吧有时间
'ba'you'wen'ti 把有问题
'ba'you'xian 把有限
'ba'you'xiao 把有效
'ba'you'yi'ge 吧有一个
'ba'yu'dao 吧于导
'ba'yu'ju 把语句
'ba'yu'liang 把余量
'ba'yu'miao 把于淼
'ba'yuan'dai'ma 把源代码
'ba'yuan'lai 吧原来
'ba'yuan'lai 把原来
'ba'yuan'yin 吧原因
'ba'za'liang 吧咱两
'ba'za'men 吧咱们
'ba'zai 吧在
'ba'zai 吧再
'ba'zai 爸再
'ba'zai'fa'yi'ci 吧再发一次
'ba'zai'ma 吧在吗
'ba'zai'shuo 吧再说
'ba'zen'me 吧怎么
'ba'zen'me'yang 吧怎么样
'ba'zhang'hao 把账号
'ba'zhao 吧找
'ba'zhao'ge 吧找个
'ba'zhe 把这
'ba'zhe 吧这
'ba'zhe'bian 吧这边
'ba'zhe'ci 吧这次
'ba'zhe'dong'xi 吧这东西
'ba'zhe'ge 把这个
'ba'zhe'ge 吧这个
'ba'zhe'ge'biao 吧这个表
'ba'zhe'ge'li'mian 吧这个里面
'ba'zhe'jia 吧这家
'ba'zhe'ju'hua 把这句话
'ba'zhe'liang'ge 把这两个
'ba'zhe'liang'ge 吧这两个
'ba'zhe'me 吧这么
'ba'zhe'me'kuai 吧这么快
'ba'zhe'shi 吧这是
'ba'zhe'xia 吧这下
'ba'zhe'xie 吧这些
'ba'zhe'xie 把这些
'ba'zhe'yang 吧这样
'ba'zhe'yang'ba 吧这样吧
'ba'zhe'zhang'biao 把这张表
'ba'zhe'zhong 吧这种
'ba'zhe'zhong 把这种
'ba'zhen'de 吧真的
'ba'zhen'duan 把诊断
'ba'zheng'ge 把整个
'ba'zheng'ti 吧整体
'ba'zheng'zhou 吧郑州
'ba'zhi'fu'bao 把支付宝
'ba'zhi'jie 吧直接
'ba'zhi'kong 把质控
'ba'zhi'neng 吧只能
'ba'zhi'yao 吧只要
'ba'zhong'da 把中大
'ba'zhong'hai 吧中海
'ba'zhong'xin 把中信
'ba'zhong'yi'yuan 吧中医院
'ba'zhong'yi'yuan 把中医院
'ba'zhou 巴州
'ba'zhou'de 巴州的
'ba'zhou'liu 吧周六
'ba'zhou'ren'min 巴州人民
'ba'zhou'ri 吧周日
'ba'zhu'ban'ben 把主版本
'ba'zhu'ren 吧主任
'ba'zhu'yao 吧主要
'ba'zhu'yuan'hao 把住院号
'ba'zhuan'ke 把转科
'ba'zhuan'ke'hua 把专科化
'ba'zhuan'men 吧专门
'ba'zhuan'ni 爸转你
'ba'zhuan'ru 把转入
'ba'zhuang'tai 把状态
'ba'zhuang'you 把装有
'ba'zi'biao 把字表
'ba'zi'cai'dan 把子菜单
'ba'zi'duan 把字段
'ba'zi'ji 爸自己
'ba'zi'ti 吧字体
'ba'zui'hao 吧最好
'ba'zui'jin 吧最近
'ba'zuo'hao 把做好
'bai 白
'bai 百
'bai 摆
'bai'ba 白拔
'bai'ba'le 白拔了
'bai'bai 白白
'bai'bai'de 白白的
'bai'ban 白班
'bai'ban'hai'shi 白班还是
'bai'ban'hu'shi 白班护士
'bai'ban'ken'ding 白班肯定
'bai'ban'tong'ji 白班统计
'bai'ban'wan'ban 白班晚班
'bai'cai'jia 白菜价
'bai'cai'jia'a 白菜价啊
'bai'dan'bai 白蛋白
'bai'de 白的
'bai'de'wan'shang 白的晚上
'bai'de'zhen 白的真
'bai'di'tan 摆地摊
'bai'di'tan'mai 摆地摊卖
'bai'du 百度
'bai'du'shang 百度上
'bai'du'shang'sou'bu'dao 百度上搜不到
'bai'du'wai'mai 百度外卖
'bai'du'yi'xia 百度一下
'bai'fang 摆放
'bai'fang'de 摆放的
'bai'fang'ji'ge 摆放几个
'bai'fei 白费
'bai'fei'you 白费有
'bai'fen'zhi'bai 百分之百
'bai'fen'zhi'bai'zheng'zong 百分之百正宗
'bai'fen'zhi'ji 百分之几
'bai'gai 白改
'bai'gai'le 白改了
'bai'gan 白干
'bai'gan'huo 白干活
'bai'gan'huo'de 白干活的
'bai'gan'le 白干了
'bai'gan'wo 白干我
'bai'gei'wo 白给我
'bai'gei'wo'dou 白给我都
'bai'gong'li 百公里
'bai'gong'li'jia'su 百公里加速
'bai'jie 白洁
'bai'jiu 白酒
'bai'jiu'gou'le 百就够了
'bai'jiu'wo 白酒我
'bai'kai'shui 白开水
'bai'kai'shui'wo 白开水我
'bai'kai'xin 白开心
'bai'lai 白来
'bai'lai'de 白来的
'bai'lao'shi 白老师
'bai'lao'shi'dui 白老师对
'bai'lie 白列
'bai'ling 白领
'bai'ling'nian'xin 白领年薪
'bai'mai 白买
'bai'mai'le 白买了
'bai'mang 百忙
'bai'mang'yi'nian 百忙一年
'bai'nong 白弄
'bai'nong'le 白弄了
'bai'ping 摆平
'bai'ping'le 摆平了
'bai'se 白色
'bai'se'de 白色的
'bai'se'ken'ding 白色肯定
